id,title,date_release,rating,wish_list_count,review_count,list_count,n_1,n_2,n_3,n_4,n_5,n_6,n_7,n_8,n_9,n_10
390876,L'Espion qui m'aimait,1977-07-13,638,772,80,1102,17,28,71,284,959,2041,1925,665,124,73
479445,Conversation secrète,1974-04-07,761,4579,77,1383,10,11,32,80,272,734,1761,2101,908,279
43095818,Old,2021-07-23,531,3072,165,1059,130,249,509,857,1358,1628,1034,318,67,40
491831,Le Cabinet du docteur Caligari,1920-02-26,770,4242,73,1343,12,23,23,67,193,573,1797,2184,954,366
488130,Sexy Dance,2006-11-15,509,342,24,511,188,299,489,813,1315,1474,1027,412,112,68
436618,"Cours, Lola, cours",1998-08-20,665,2373,55,746,27,61,132,246,651,1412,2022,1226,311,113
383027,La Nuit américaine,1973-05-24,752,3710,60,1263,21,13,38,81,238,612,1812,2124,939,324
8864562,Le Juge,2014-10-10,661,2033,121,641,11,33,91,231,657,1548,2188,1094,266,87
469486,Le Come Back,2007-02-09,566,663,63,552,71,141,316,627,1316,1880,1238,460,116,43
478811,Le Dernier Empereur,1988-02-25,733,3065,45,997,7,15,28,93,287,897,2145,1917,614,207
469717,Solaris,1972-03-20,771,7645,94,1772,24,38,59,120,276,562,1358,1956,1225,596
389251,Elle s'appelle Ruby,2012-10-03,667,2120,129,766,10,48,86,244,554,1537,2273,1096,290,77
384030,Innocents,2003-12-10,655,3657,49,847,50,75,168,267,619,1333,1841,1215,441,207
376648,Dans ses yeux,2009-08-13,757,3470,126,1004,13,22,28,78,204,553,1655,2337,1038,290
377491,Les Âmes vagabondes,2013-03-22,487,834,152,598,235,406,625,973,1220,1254,905,391,130,81
426205,Amer béton,2006-12-23,770,3808,52,1119,11,11,32,68,178,544,1365,2088,1299,626
16657267,Rampage - Hors de contrôle,2018-04-20,492,683,160,831,128,293,720,1111,1570,1481,659,164,41,66
446018,Cléo de 5 à 7,1962-04-11,744,3203,56,1294,10,20,39,75,252,705,1939,2030,852,315
29315951,Cold War,2018-06-08,713,4355,100,1268,18,19,45,119,337,851,2020,1901,714,216
442502,The Murderer,2010-12-22,704,4089,134,1232,10,11,61,146,343,1180,2382,1676,357,75
415055,Hanna,2011-04-07,624,1914,183,664,30,90,200,411,907,1708,1925,739,185,48
406686,Last Days,2005-07-22,605,3702,80,893,123,219,315,542,936,1382,1394,867,345,126
417847,Wall Street,1987-12-11,687,2178,59,900,13,22,35,169,470,1406,2623,1226,223,71
12541325,La Face cachée de Margo,2015-06-05,516,1079,67,528,123,286,515,981,1499,1542,908,301,68,39
447484,Un flic à la maternelle,1990-12-21,522,475,62,695,149,315,543,868,1440,1609,967,275,66,36
30893991,"Plaire, aimer et courir vite",2018-05-10,671,4345,92,988,40,57,102,241,546,1207,2080,1445,439,111
497204,Voyage au centre de la Terre,2008-07-11,458,301,64,418,210,488,766,1258,1481,1221,599,167,45,34
489788,Au service secret de Sa Majesté,1969-12-13,641,966,103,1142,26,56,168,379,918,1732,1760,883,249,103
13437567,Eddie the Eagle,2016-02-26,695,2374,87,782,5,16,45,112,374,1319,2608,1394,299,104
11901804,Le Chasseur et la Reine des glaces,2016-04-04,492,944,114,611,122,309,648,1102,1569,1467,727,242,53,40
492696,Team America : Police du monde,2004-10-15,670,1646,65,620,72,100,141,280,561,1317,2026,1302,362,119
18754638,Sing Street,2016-03-17,730,3304,99,1046,7,10,31,73,261,841,2159,2087,614,197
394399,Monsters,2010-12-03,634,2884,305,871,72,129,230,424,784,1529,1841,1005,217,51
392920,Les Diamants sont éternels,1971-12-14,610,736,87,1060,23,56,169,405,1178,2184,1691,481,64,34
474166,Le Royaume de Ga'Hoole : La Légende des gardiens,2010-09-23,625,1128,146,733,54,69,181,420,892,1774,1833,791,193,79
